tblname,name,poly,incomeShared,senateIdShared
1,35TH INFANTRY CACTI REGIMENT ASSOCIATION INC,"<Point><coordinates>-72.452404,42.094586</coordinates></Point>",39916,7
1,376 WEST FOURTH STREET APARTMENTS INC,"<Point><coordinates>-71.204419,42.297269</coordinates></Point>",0,29
1,38TH OCC-BC 3-66 ALUMNI,"<Point><coordinates>-70.960509,42.224519</coordinates></Point>",7766,34
1,3L PLACE INC,"<Point><coordinates>-71.143867,42.316603</coordinates></Point>",123076,29
1,3RD EYE YOUTH EMPOWERMENT INC,"<Point><coordinates>-70.921996,41.634523</coordinates></Point>",147053,38
1,3STRIKES INC,"<Point><coordinates>-70.562655,41.912817</coordinates></Point>",209609,39
1,4 PAWS ANIMAL SHELTER INC,"<Point><coordinates>-71.371169,42.054311</coordinates></Point>",0,17
1,4-H CLUB & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.664761,42.331381</coordinates></Point>",0,6
1,4-H CLUBS & AFFILIATED 4-H ORGANIZAITONS,"<Point><coordinates>-72.640763,42.454335</coordinates></Point>",0,6
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.799842,42.038011</coordinates></Point>",NA,39
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.448379,42.329679</coordinates></Point>",0,7
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.434646,42.452836</coordinates></Point>",0,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.569125,42.070684</coordinates></Point>",0,12
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.171965,41.886563</coordinates></Point>",0,36
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.974989,42.257393</coordinates></Point>",0,33
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-73.398336,42.290352</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.076902,42.519703</coordinates></Point>",0,23
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.22413,42.101324</coordinates></Point>",86191,8
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.076902,42.519703</coordinates></Point>",0,23
